year,variable,desc
2018,hoursleep,Past Week - How Many Hours of Sleep Average
2019,hoursleep,Past Week - How Many Hours of Sleep Average
2020,hoursleep,Past Week - How Many Hours of Sleep Average
2021,hoursleep,Past Week - How Many Hours of Sleep Average
2022,hoursleep,Past Week - How Many Hours of Sleep Average
2016,hoursleep05,Past Week - How Many Hours of Sleep Average
2017,hoursleep05,Past Week - How Many Hours of Sleep Average
2018,hoursleep05,Past Week - How Many Hours of Sleep Average
2019,hoursleep05,Past Week - How Many Hours of Sleep Average
2020,hoursleep05,Past Week - How Many Hours of Sleep Average
2021,hoursleep05,Past Week - How Many Hours of Sleep Average
2022,hoursleep05,Past Week - How Many Hours of Sleep Average
2016,house_gen,Parental Nativity
2017,house_gen,Parental Nativity
2018,house_gen,Parental Nativity
2019,house_gen,Parental Nativity
2020,house_gen,Parental Nativity
2021,house_gen,Parental Nativity
2022,house_gen,Parental Nativity
2016,howmuch,How Much Medical Health Care - Past 12 Months
2017,howmuch,How Much Medical Health Care - Past 12 Months
2018,howmuch,How Much Medical Health Care - Past 12 Months
2019,howmuch,How Much Medical Health Care - Past 12 Months
2020,howmuch,How Much Medical Health Care - Past 12 Months
2021,howmuch,How Much Medical Health Care - Past 12 Months
2022,howmuch,How Much Medical Health Care - Past 12 Months
2016,hurtsad,How Often - Show Concern
2017,hurtsad,How Often - Show Concern
2018,hurtsad,How Often - Show Concern
2019,hurtsad,How Often - Show Concern
2020,hurtsad,How Often - Show Concern
2021,hurtsad,How Often - Show Concern
2022,hurtsad,How Often - Show Concern
2022,inq_edu,Black-White educational inequity
2022,inq_employ,Black-White employment inequity
2022,inq_home,Black-White homeownership inequity
2022,inq_income,Black-White income inequity
2022,inq_resseg,Black-White Residential Segregation
2016,insgap,Health Insurance Coverage - Past 12 Months
2017,insgap,Health Insurance Coverage - Past 12 Months
2018,insgap,Health Insurance Coverage - Past 12 Months
2019,insgap,Health Insurance Coverage - Past 12 Months
2020,insgap,Health Insurance Coverage - Past 12 Months
2021,insgap,Health Insurance Coverage - Past 12 Months
2022,insgap,Health Insurance Coverage - Past 12 Months
2016,instype,Insurance Type
2017,instype,Insurance Type (Revised)
2018,instype,Insurance Type (Revised)
2019,instype,Insurance Type (Revised)
2020,instype,Insurance Type (Revised)
2021,instype,Insurance Type (Revised)
2022,instype,Insurance Type (Revised)
2016,issuecost,Needed Health Care Not Received Due to - Cost
2017,issuecost,Needed Health Care Not Received Due to - Cost
2018,issuecost,Needed Health Care Not Received Due to - Cost
2019,issuecost,Needed Health Care Not Received Due to - Cost
2020,issuecost,Needed Health Care Not Received Due to - Cost
2021,issuecost,Needed Health Care Not Received Due to - Cost
2022,issuecost,Needed Health Care Not Received Due to - Cost
2016,k10q11,Neighborhood - Sidewalks or Walking Paths
2017,k10q11,Neighborhood - Sidewalks or Walking Paths
2018,k10q11,Neighborhood - Sidewalks or Walking Paths
2019,k10q11,Neighborhood - Sidewalks or Walking Paths
2020,k10q11,Neighborhood - Sidewalks or Walking Paths
2021,k10q11,Neighborhood - Sidewalks or Walking Paths
2022,k10q11,Neighborhood - Sidewalks or Walking Paths
2016,k10q12,Neighborhood - Park or Playground
2017,k10q12,Neighborhood - Park or Playground
2018,k10q12,Neighborhood - Park or Playground
2019,k10q12,Neighborhood - Park or Playground
2020,k10q12,Neighborhood - Park or Playground
2021,k10q12,Neighborhood - Park or Playground
2022,k10q12,Neighborhood - Park or Playground
2016,k10q13,Neighborhood - Recreation Center
2017,k10q13,Neighborhood - Recreation Center
2018,k10q13,Neighborhood - Recreation Center
2019,k10q13,Neighborhood - Recreation Center
2020,k10q13,Neighborhood - Recreation Center
2021,k10q13,Neighborhood - Recreation Center
2022,k10q13,Neighborhood - Recreation Center
2016,k10q14,Neighborhood - Library or Bookmobile
2017,k10q14,Neighborhood - Library or Bookmobile
2018,k10q14,Neighborhood - Library or Bookmobile
2019,k10q14,Neighborhood - Library or Bookmobile
2020,k10q14,Neighborhood - Library or Bookmobile
2021,k10q14,Neighborhood - Library or Bookmobile
2022,k10q14,Neighborhood - Library or Bookmobile
2016,k10q20,Neighborhood - Litter or Garbage
2017,k10q20,Neighborhood - Litter or Garbage
2018,k10q20,Neighborhood - Litter or Garbage
2019,k10q20,Neighborhood - Litter or Garbage
2020,k10q20,Neighborhood - Litter or Garbage
2021,k10q20,Neighborhood - Litter or Garbage
2022,k10q20,Neighborhood - Litter or Garbage
2016,k10q22,Neighborhood - Poorly Kept or Rundown Housing
2017,k10q22,Neighborhood - Poorly Kept or Rundown Housing
2018,k10q22,Neighborhood - Poorly Kept or Rundown Housing
2019,k10q22,Neighborhood - Poorly Kept or Rundown Housing
2020,k10q22,Neighborhood - Poorly Kept or Rundown Housing
2021,k10q22,Neighborhood - Poorly Kept or Rundown Housing
2022,k10q22,Neighborhood - Poorly Kept or Rundown Housing
2016,k10q23,Neighborhood - Vandalism
2017,k10q23,Neighborhood - Vandalism
2018,k10q23,Neighborhood - Vandalism
2019,k10q23,Neighborhood - Vandalism
2020,k10q23,Neighborhood - Vandalism
2021,k10q23,Neighborhood - Vandalism
2022,k10q23,Neighborhood - Vandalism
2016,k10q30,People In Neighborhood Help Each Other Out
2017,k10q30,People In Neighborhood Help Each Other Out
2018,k10q30,People In Neighborhood Help Each Other Out
2019,k10q30,People In Neighborhood Help Each Other Out
2020,k10q30,People In Neighborhood Help Each Other Out
2021,k10q30,People In Neighborhood Help Each Other Out
2022,k10q30,People In Neighborhood Help Each Other Out
2016,k10q31,Watch Out for Other's Children
2017,k10q31,Watch Out for Other's Children
2018,k10q31,Watch Out for Other's Children
2019,k10q31,Watch Out for Other's Children
2020,k10q31,Watch Out for Other's Children
2021,k10q31,Watch Out for Other's Children
2022,k10q31,Watch Out for Other's Children
2016,k10q40_r,Child is Safe In Neighborhood
2017,k10q40_r,Child is Safe In Neighborhood
2018,k10q40_r,Child is Safe In Neighborhood
2019,k10q40_r,Child is Safe In Neighborhood
2020,k10q40_r,Child is Safe In Neighborhood
2021,k10q40_r,Child is Safe In Neighborhood
2022,k10q40_r,Child is Safe In Neighborhood
2016,k10q41_r,Child Is Safe at School
2017,k10q41_r,Child Is Safe at School
2018,k10q41_r,Child Is Safe at School
2019,k10q41_r,Child Is Safe at School
2020,k10q41_r,Child Is Safe at School
2021,k10q41_r,Child Is Safe at School
2022,k10q41_r,Child Is Safe at School
2016,k11q03r,Health Insurance - Indian Health Service
2017,k11q03r,Health Insurance - Indian Health Service
2018,k11q03r,Health Insurance - Indian Health Service
2019,k11q03r,Health Insurance - Indian Health Service
2020,k11q03r,Health Insurance - Indian Health Service
2021,k11q03r,Health Insurance - Indian Health Service
2022,k11q03r,Health Insurance - Indian Health Service
2016,k11q43r,How Many Times Moved to New Address
2017,k11q43r,How Many Times Moved to New Address
2018,k11q43r,How Many Times Moved to New Address
2019,k11q43r,How Many Times Moved to New Address
2020,k11q43r,How Many Times Moved to New Address
2021,k11q43r,How Many Times Moved to New Address
2022,k11q43r,How Many Times Moved to New Address
2016,k11q60,Cash Assistance from Government - Past 12 Months
2017,k11q60,Cash Assistance from Government - Past 12 Months
2018,k11q60,Cash Assistance from Government - Past 12 Months
2019,k11q60,Cash Assistance from Government - Past 12 Months
2020,k11q60,Cash Assistance from Government - Past 12 Months
2021,k11q60,Cash Assistance from Government - Past 12 Months
2022,k11q60,Cash Assistance from Government - Past 12 Months
2016,k11q61,Food Stamps - Past 12 Months
2017,k11q61,Food Stamps - Past 12 Months
2018,k11q61,Food Stamps - Past 12 Months
2019,k11q61,Food Stamps - Past 12 Months
2020,k11q61,Food Stamps - Past 12 Months
2021,k11q61,Food Stamps - Past 12 Months
2022,k11q61,Food Stamps - Past 12 Months
2016,k11q62,Free or Reduced Cost Meals - Past 12 Months
2017,k11q62,Free or Reduced Cost Meals - Past 12 Months
2018,k11q62,Free or Reduced Cost Meals - Past 12 Months
2019,k11q62,Free or Reduced Cost Meals - Past 12 Months
2020,k11q62,Free or Reduced Cost Meals - Past 12 Months
2021,k11q62,Free or Reduced Cost Meals - Past 12 Months
2022,k11q62,Free or Reduced Cost Meals - Past 12 Months
2016,k12q01_a,Reason Not Covered - Change in Employer/Employment
2017,k12q01_a,Reason Not Covered - Change in Employer/Employment
2018,k12q01_a,Reason Not Covered - Change in Employer/Employment
2019,k12q01_a,Reason Not Covered - Change in Employer/Employment
2020,k12q01_a,Reason Not Covered - Change in Employer/Employment
2021,k12q01_a,Reason Not Covered - Change in Employer/Employment
2022,k12q01_a,Reason Not Covered - Change in Employer/Employment
2016,k12q01_b,Reason Not Covered - Cancellation Overdue Premiums
2017,k12q01_b,Reason Not Covered - Cancellation Overdue Premiums
2018,k12q01_b,Reason Not Covered - Cancellation Overdue Premiums
2019,k12q01_b,Reason Not Covered - Cancellation Overdue Premiums
2020,k12q01_b,Reason Not Covered - Cancellation Overdue Premiums
2021,k12q01_b,Reason Not Covered - Cancellation Overdue Premiums
2022,k12q01_b,Reason Not Covered - Cancellation Overdue Premiums
2016,k12q01_c,Reason Not Covered - Unaffordable
2017,k12q01_c,Reason Not Covered - Unaffordable
2018,k12q01_c,Reason Not Covered - Unaffordable
2019,k12q01_c,Reason Not Covered - Unaffordable
2020,k12q01_c,Reason Not Covered - Unaffordable
2021,k12q01_c,Reason Not Covered - Unaffordable
2022,k12q01_c,Reason Not Covered - Unaffordable
2016,k12q01_d,Reason Not Covered - Inadequate Benefits
2017,k12q01_d,Reason Not Covered - Inadequate Benefits
2018,k12q01_d,Reason Not Covered - Inadequate Benefits
2019,k12q01_d,Reason Not Covered - Inadequate Benefits
2020,k12q01_d,Reason Not Covered - Inadequate Benefits
2021,k12q01_d,Reason Not Covered - Inadequate Benefits
2022,k12q01_d,Reason Not Covered - Inadequate Benefits
2016,k12q01_e,Reason Not Covered - Inadequate Providers
2017,k12q01_e,Reason Not Covered - Inadequate Providers
2018,k12q01_e,Reason Not Covered - Inadequate Providers
2019,k12q01_e,Reason Not Covered - Inadequate Providers
2020,k12q01_e,Reason Not Covered - Inadequate Providers
2021,k12q01_e,Reason Not Covered - Inadequate Providers
2022,k12q01_e,Reason Not Covered - Inadequate Providers
2016,k12q01_f,Reason Not Covered - Application/Renewal Problems
2017,k12q01_f,Reason Not Covered - Application/Renewal Problems
2018,k12q01_f,Reason Not Covered - Application/Renewal Problems
2019,k12q01_f,Reason Not Covered - Application/Renewal Problems
2020,k12q01_f,Reason Not Covered - Application/Renewal Problems
2021,k12q01_f,Reason Not Covered - Application/Renewal Problems
2022,k12q01_f,Reason Not Covered - Application/Renewal Problems
2016,k12q01_g,Reason Not Covered - Other
2017,k12q01_g,Reason Not Covered - Other
2018,k12q01_g,Reason Not Covered - Other
2019,k12q01_g,Reason Not Covered - Other
2020,k12q01_g,Reason Not Covered - Other
2021,k12q01_g,Reason Not Covered - Other
2022,k12q01_g,Reason Not Covered - Other
2016,k12q03,Health Insurance - Current/Former Employer or Union
2017,k12q03,Health Insurance - Current/Former Employer or Union
2018,k12q03,Health Insurance - Current/Former Employer or Union
2019,k12q03,Health Insurance - Current/Former Employer or Union
2020,k12q03,Health Insurance - Current/Former Employer or Union
2021,k12q03,Health Insurance - Current/Former Employer or Union
2022,k12q03,Health Insurance - Current/Former Employer or Union
2016,k12q04,Health Insurance - Insurance Company
2017,k12q04,Health Insurance - Insurance Company
2018,k12q04,Health Insurance - Insurance Company
2019,k12q04,Health Insurance - Insurance Company
2020,k12q04,Health Insurance - Insurance Company
2021,k12q04,Health Insurance - Insurance Company
2022,k12q04,Health Insurance - Insurance Company
2016,k12q12,Health Insurance - Government Assistance Plan
2017,k12q12,Health Insurance - Government Assistance Plan
2018,k12q12,Health Insurance - Government Assistance Plan
2019,k12q12,Health Insurance - Government Assistance Plan
2020,k12q12,Health Insurance - Government Assistance Plan
2021,k12q12,Health Insurance - Government Assistance Plan
2022,k12q12,Health Insurance - Government Assistance Plan
2016,k2q01,Health Description
2017,k2q01,General Health
2018,k2q01,General Health
2019,k2q01,General Health
2020,k2q01,General Health
2021,k2q01,General Health
2022,k2q01,General Health
2016,k2q01_d,Teeth Description
2017,k2q01_d,Teeth Description
2018,k2q01_d,Teeth Description
2019,k2q01_d,Teeth Description
2020,k2q01_d,Teeth Description
2021,k2q01_d,Teeth Description
2022,k2q01_d,Teeth Description
2016,k2q05,Born 3 Weeks Before Due Date
2017,k2q05,Born 3 or More Weeks Before Due Date
2018,k2q05,Born 3 or More Weeks Before Due Date
2019,k2q05,Born 3 or More Weeks Before Due Date
2020,k2q05,Born 3 or More Weeks Before Due Date
2021,k2q05,Born 3 or More Weeks Before Due Date
2022,k2q05,Born 3 or More Weeks Before Due Date
2016,k2q30a,Learning Disability
2017,k2q30a,Learning Disability
2018,k2q30a,Learning Disability
2019,k2q30a,Learning Disability
2020,k2q30a,Learning Disability
2021,k2q30a,Learning Disability
2022,k2q30a,Learning Disability
2016,k2q30b,Learning Disability Currently
2017,k2q30b,Learning Disability Currently
2018,k2q30b,Learning Disability Currently
2019,k2q30b,Learning Disability Currently
2020,k2q30b,Learning Disability Currently
2021,k2q30b,Learning Disability Currently
2022,k2q30b,Learning Disability Currently
2016,k2q30c,Learning Disability Description
2017,k2q30c,Learning Disability Severity Description
2018,k2q30c,Learning Disability Severity Description
2019,k2q30c,Learning Disability Severity Description
2020,k2q30c,Learning Disability Severity Description
2021,k2q30c,Learning Disability Severity Description
2022,k2q30c,Learning Disability Severity Description
2016,k2q31a,ADD/ADHD
2017,k2q31a,ADD/ADHD
2018,k2q31a,ADD/ADHD
2019,k2q31a,ADD/ADHD
2020,k2q31a,ADD/ADHD
2021,k2q31a,ADD/ADHD
2022,k2q31a,ADD/ADHD
2016,k2q31b,ADD/ADHD Currently
2017,k2q31b,ADD/ADHD Currently
2018,k2q31b,ADD/ADHD Currently
2019,k2q31b,ADD/ADHD Currently
2020,k2q31b,ADD/ADHD Currently
2021,k2q31b,ADD/ADHD Currently
2022,k2q31b,ADD/ADHD Currently
2016,k2q31c,ADD/ADHD Description
2017,k2q31c,ADD/ADHD Severity Description
2018,k2q31c,ADD/ADHD Severity Description
2019,k2q31c,ADD/ADHD Severity Description
2020,k2q31c,ADD/ADHD Severity Description
2021,k2q31c,ADD/ADHD Severity Description
2022,k2q31c,ADD/ADHD Severity Description
2016,k2q31d,ADD/ADHD - Medication Currently
2017,k2q31d,ADD/ADHD - Medication Currently
2018,k2q31d,ADD/ADHD - Medication Currently
2019,k2q31d,ADD/ADHD - Medication Currently
2020,k2q31d,ADD/ADHD - Medication Currently
2021,k2q31d,ADD/ADHD - Medication Currently
2022,k2q31d,ADD/ADHD - Medication Currently
2016,k2q32a,Depression
2017,k2q32a,Depression
2018,k2q32a,Depression
2019,k2q32a,Depression
2020,k2q32a,Depression
2021,k2q32a,Depression
2022,k2q32a,Depression
2016,k2q32b,Depression Currently
2017,k2q32b,Depression Currently
2018,k2q32b,Depression Currently
2019,k2q32b,Depression Currently
2020,k2q32b,Depression Currently
2021,k2q32b,Depression Currently
2022,k2q32b,Depression Currently
2016,k2q32c,Depression Description
2017,k2q32c,Depression Severity Description
2018,k2q32c,Depression Severity Description
2019,k2q32c,Depression Severity Description
2020,k2q32c,Depression Severity Description
2021,k2q32c,Depression Severity Description
2022,k2q32c,Depression Severity Description
2016,k2q33a,Anxiety
2017,k2q33a,Anxiety
2018,k2q33a,Anxiety
2019,k2q33a,Anxiety
2020,k2q33a,Anxiety
2021,k2q33a,Anxiety
2022,k2q33a,Anxiety
2016,k2q33b,Anxiety Currently
2017,k2q33b,Anxiety Currently
2018,k2q33b,Anxiety Currently
2019,k2q33b,Anxiety Currently
2020,k2q33b,Anxiety Currently
2021,k2q33b,Anxiety Currently
2022,k2q33b,Anxiety Currently
2016,k2q33c,Anxiety Description
2017,k2q33c,Anxiety Severity Description
2018,k2q33c,Anxiety Severity Description
2019,k2q33c,Anxiety Severity Description
2020,k2q33c,Anxiety Severity Description
2021,k2q33c,Anxiety Severity Description
2022,k2q33c,Anxiety Severity Description
2016,k2q34a,Behavior Problems
2017,k2q34a,Behavior Problems
2018,k2q34a,Behavior Problems
2019,k2q34a,Behavior Problems
2020,k2q34a,Behavior Problems
2021,k2q34a,Behavior Problems
2022,k2q34a,Behavior Problems
2016,k2q34b,Behavior Problems Currently
2017,k2q34b,Behavior Problems Currently
2018,k2q34b,Behavior Problems Currently
2019,k2q34b,Behavior Problems Currently
2020,k2q34b,Behavior Problems Currently
2021,k2q34b,Behavior Problems Currently
2022,k2q34b,Behavior Problems Currently
2016,k2q34c,Behavior Problems Description
2017,k2q34c,Behavior Problems Severity Description
2018,k2q34c,Behavior Problems Severity Description
2019,k2q34c,Behavior Problems Severity Description
2020,k2q34c,Behavior Problems Severity Description
2021,k2q34c,Behavior Problems Severity Description
2022,k2q34c,Behavior Problems Severity Description
2016,k2q35a,Autism ASD
2017,k2q35a,Autism ASD
2018,k2q35a,Autism ASD
2019,k2q35a,Autism ASD
2020,k2q35a,Autism ASD
2021,k2q35a,Autism ASD
2022,k2q35a,Autism ASD
2016,k2q35a_1_years,Autism ASD How Old - Age in Years
2017,k2q35a_1_years,Autism ASD - First Told Age in Years
2018,k2q35a_1_years,Autism ASD - First Told Age in Years
2019,k2q35a_1_years,Autism ASD - First Told Age in Years
2020,k2q35a_1_years,Autism ASD - First Told Age in Years
2021,k2q35a_1_years,Autism ASD - First Told Age in Years
2022,k2q35a_1_years,Autism ASD - First Told Age in Years
2016,k2q35b,Autism ASD Currently
2017,k2q35b,Autism ASD Currently
2018,k2q35b,Autism ASD Currently
2019,k2q35b,Autism ASD Currently
2020,k2q35b,Autism ASD Currently
2021,k2q35b,Autism ASD Currently
2022,k2q35b,Autism ASD Currently
2016,k2q35c,Autism ASD Description
2017,k2q35c,Autism ASD Severity Description
2018,k2q35c,Autism ASD Severity Description
2019,k2q35c,Autism ASD Severity Description
2020,k2q35c,Autism ASD Severity Description
2021,k2q35c,Autism ASD Severity Description
2022,k2q35c,Autism ASD Severity Description
2016,k2q35d,Autism ASD - Doctor Diagnose
2017,k2q35d,Autism ASD - First Told Doctor Type
2018,k2q35d,Autism ASD - First Told Doctor Type
2019,k2q35d,Autism ASD - First Told Doctor Type
2020,k2q35d,Autism ASD - First Told Doctor Type
2021,k2q35d,Autism ASD - First Told Doctor Type
2022,k2q35d,Autism ASD - First Told Doctor Type
2016,k2q36a,Developmental Delay
2017,k2q36a,Developmental Delay
2018,k2q36a,Developmental Delay
2019,k2q36a,Developmental Delay
2020,k2q36a,Developmental Delay
2021,k2q36a,Developmental Delay
2022,k2q36a,Developmental Delay
2016,k2q36b,Developmental Delay Currently
2017,k2q36b,Developmental Delay Currently
2018,k2q36b,Developmental Delay Currently
2019,k2q36b,Developmental Delay Currently
2020,k2q36b,Developmental Delay Currently
2021,k2q36b,Developmental Delay Currently
2022,k2q36b,Developmental Delay Currently
2016,k2q36c,Developmental Delay Description
2017,k2q36c,Developmental Delay Severity Description
2018,k2q36c,Developmental Delay Severity Description
2019,k2q36c,Developmental Delay Severity Description
2020,k2q36c,Developmental Delay Severity Description
2021,k2q36c,Developmental Delay Severity Description
2022,k2q36c,Developmental Delay Severity Description
2016,k2q37a,Speech Disorder
2017,k2q37a,Speech Disorder
2018,k2q37a,Speech Disorder
2019,k2q37a,Speech Disorder
2020,k2q37a,Speech Disorder
2021,k2q37a,Speech Disorder
2022,k2q37a,Speech Disorder
2016,k2q37b,Speech Disorder Currently
2017,k2q37b,Speech Disorder Currently
2018,k2q37b,Speech Disorder Currently
2019,k2q37b,Speech Disorder Currently
2020,k2q37b,Speech Disorder Currently
2021,k2q37b,Speech Disorder Currently
2022,k2q37b,Speech Disorder Currently
2016,k2q37c,Speech Disorder Description
2017,k2q37c,Speech Disorder Severity Description
2018,k2q37c,Speech Disorder Severity Description
2019,k2q37c,Speech Disorder Severity Description
2020,k2q37c,Speech Disorder Severity Description
2021,k2q37c,Speech Disorder Severity Description
2022,k2q37c,Speech Disorder Severity Description
2016,k2q38a,Tourette Syndrome
2017,k2q38a,Tourette Syndrome
2018,k2q38a,Tourette Syndrome
2019,k2q38a,Tourette Syndrome
2020,k2q38a,Tourette Syndrome
2021,k2q38a,Tourette Syndrome
2022,k2q38a,Tourette Syndrome
2016,k2q38b,Tourette Syndrome Currently
2017,k2q38b,Tourette Syndrome Currently
2018,k2q38b,Tourette Syndrome Currently
2019,k2q38b,Tourette Syndrome Currently
2020,k2q38b,Tourette Syndrome Currently
2021,k2q38b,Tourette Syndrome Currently
2022,k2q38b,Tourette Syndrome Currently
2016,k2q38c,Tourette Syndrome Description
2017,k2q38c,Tourette Syndrome Severity Description
2018,k2q38c,Tourette Syndrome Severity Description
2019,k2q38c,Tourette Syndrome Severity Description
2020,k2q38c,Tourette Syndrome Severity Description
2021,k2q38c,Tourette Syndrome Severity Description
2022,k2q38c,Tourette Syndrome Severity Description
2016,k2q40a,Asthma
2017,k2q40a,Asthma
2018,k2q40a,Asthma
2019,k2q40a,Asthma
2020,k2q40a,Asthma
2021,k2q40a,Asthma
2022,k2q40a,Asthma
2016,k2q40b,Asthma Currently
2017,k2q40b,Asthma Currently
2018,k2q40b,Asthma Currently
2019,k2q40b,Asthma Currently
2020,k2q40b,Asthma Currently
2021,k2q40b,Asthma Currently
2022,k2q40b,Asthma Currently
2016,k2q40c,Asthma Description
2017,k2q40c,Asthma Severity Description
2018,k2q40c,Asthma Severity Description
2019,k2q40c,Asthma Severity Description
2020,k2q40c,Asthma Severity Description
2021,k2q40c,Asthma Severity Description
2022,k2q40c,Asthma Severity Description
2016,k2q41a,Diabetes
2017,k2q41a,Diabetes
2018,k2q41a,Diabetes
2019,k2q41a,Diabetes
2020,k2q41a,Diabetes
2021,k2q41a,Diabetes
2016,k2q41b,Diabetes Currently
2017,k2q41b,Diabetes Currently
2018,k2q41b,Diabetes Currently
2019,k2q41b,Diabetes Currently
2020,k2q41b,Diabetes Currently
2021,k2q41b,Diabetes Currently
2016,k2q41c,Diabetes Description
2017,k2q41c,Diabetes Severity Description
2018,k2q41c,Diabetes Severity Description
2019,k2q41c,Diabetes Severity Description
2020,k2q41c,Diabetes Severity Description
2021,k2q41c,Diabetes Severity Description
2016,k2q42a,Epilepsy
2017,k2q42a,Epilepsy
2018,k2q42a,Epilepsy
2019,k2q42a,Epilepsy
2020,k2q42a,Epilepsy
2021,k2q42a,Epilepsy
2022,k2q42a,Epilepsy
2016,k2q42b,Epilepsy Currently
2017,k2q42b,Epilepsy Currently
2018,k2q42b,Epilepsy Currently
2019,k2q42b,Epilepsy Currently
2020,k2q42b,Epilepsy Currently
2021,k2q42b,Epilepsy Currently
2022,k2q42b,Epilepsy Currently
2016,k2q42c,Epilepsy Description
2017,k2q42c,Epilepsy Severity Description
2018,k2q42c,Epilepsy Severity Description
2019,k2q42c,Epilepsy Severity Description
2020,k2q42c,Epilepsy Severity Description
2021,k2q42c,Epilepsy Severity Description
2022,k2q42c,Epilepsy Severity Description
2016,k2q43b,Deafness
2017,k2q43b,Deafness
2018,k2q43b,Deafness
2019,k2q43b,Deafness
2020,k2q43b,Deafness
2021,k2q43b,Deafness
2022,k2q43b,Deafness
2016,k2q46a,Brain Injury
2017,k2q46a,Brain Injury
2018,k2q46a,Brain Injury
2019,k2q46a,Brain Injury
2016,k2q46b,Brain Injury Currently
2017,k2q46b,Brain Injury Currently
2018,k2q46b,Brain Injury Currently
2019,k2q46b,Brain Injury Currently
2016,k2q46c,Brain Injury Description
2017,k2q46c,Brain Injury Severity Description
2018,k2q46c,Brain Injury Severity Description
2019,k2q46c,Brain Injury Severity Description
2016,k2q60a,Intellectual Disability
2017,k2q60a,Intellectual Disability
2018,k2q60a,Intellectual Disability
2019,k2q60a,Intellectual Disability
2020,k2q60a,Intellectual Disability
2021,k2q60a,Intellectual Disability
2022,k2q60a,Intellectual Disability
2016,k2q60b,Intellectual Disability Currently
2017,k2q60b,Intellectual Disability Currently
2018,k2q60b,Intellectual Disability Currently
2019,k2q60b,Intellectual Disability Currently
2020,k2q60b,Intellectual Disability Currently
2021,k2q60b,Intellectual Disability Currently
2022,k2q60b,Intellectual Disability Currently
2016,k2q60c,Intellectual Disability Description
2017,k2q60c,Intellectual Disability Severity Description
2018,k2q60c,Intellectual Disability Severity Description
2019,k2q60c,Intellectual Disability Severity Description
2020,k2q60c,Intellectual Disability Severity Description
2021,k2q60c,Intellectual Disability Severity Description
2022,k2q60c,Intellectual Disability Severity Description
2016,k2q61a,Cerebral Palsy
2017,k2q61a,Cerebral Palsy
2018,k2q61a,Cerebral Palsy
2019,k2q61a,Cerebral Palsy
2020,k2q61a,Cerebral Palsy
2021,k2q61a,Cerebral Palsy
2022,k2q61a,Cerebral Palsy
2016,k2q61b,Cerebral Palsy Currently
2017,k2q61b,Cerebral Palsy Currently
2018,k2q61b,Cerebral Palsy Currently
2019,k2q61b,Cerebral Palsy Currently
2020,k2q61b,Cerebral Palsy Currently
2021,k2q61b,Cerebral Palsy Currently
2016,k3q04_r,Health Insurance Coverage - Past 12 Months (Use INSGAP)
2017,k3q04_r,Health Insurance Coverage - Past 12 Months (Use INSGAP)
2018,k3q04_r,Health Insurance Coverage - Past 12 Months (Use INSGAP)
2019,k3q04_r,Health Insurance Coverage - Past 12 Months (Use INSGAP)
2020,k3q04_r,Health Insurance Coverage - Past 12 Months (Use INSGAP)
2021,k3q04_r,Health Insurance Coverage - Past 12 Months (Use INSGAP)
2022,k3q04_r,Health Insurance Coverage - Past 12 Months (Use INSGAP)
2016,k3q20,Health Insurance - Benefits Cover Services
2017,k3q20,Health Insurance - Benefits Cover Services
2018,k3q20,Health Insurance - Benefits Cover Services
2019,k3q20,Health Insurance - Benefits Cover Services
2020,k3q20,Health Insurance - Benefits Cover Services
2021,k3q20,Health Insurance - Benefits Cover Services
2022,k3q20,Health Insurance - Benefits Cover Services
2016,k3q21b,How Often Costs Reasonable
2017,k3q21b,How Often Costs Reasonable
2018,k3q21b,How Often Costs Reasonable
2019,k3q21b,How Often Costs Reasonable
2020,k3q21b,How Often Costs Reasonable
2021,k3q21b,How Often Costs Reasonable
2022,k3q21b,How Often Costs Reasonable
2016,k3q22,Health Insurance - Allow to See Provider
2017,k3q22,Health Insurance - Allow to See Provider
2018,k3q22,Health Insurance - Allow to See Provider
2019,k3q22,Health Insurance - Allow to See Provider
2020,k3q22,Health Insurance - Allow to See Provider
2021,k3q22,Health Insurance - Allow to See Provider
2022,k3q22,Health Insurance - Allow to See Provider
2016,k3q25,Problems Paying for Medical or Health Care
2017,k3q25,Problems Paying for Medical or Health Care
2018,k3q25,Problems Paying for Medical or Health Care
2019,k3q25,Problems Paying for Medical or Health Care
2020,k3q25,Problems Paying for Medical or Health Care
2021,k3q25,Problems Paying for Medical or Health Care
2022,k3q25,Problems Paying for Medical or Health Care
2016,k4q01,Place Usually Goes Sick
2017,k4q01,Place Usually Goes Sick
2018,k4q01,Place Usually Goes Sick
2019,k4q01,Place Usually Goes Sick
2020,k4q01,Place Usually Goes Sick
2021,k4q01,Place Usually Goes Sick
2022,k4q01,Place Usually Goes Sick
2016,k4q02_r,Place Usually Goes Sick - Where
2017,k4q02_r,Place Usually Goes Sick - Where
2018,k4q02_r,Place Usually Goes Sick - Where
2019,k4q02_r,Place Usually Goes Sick - Where
2020,k4q02_r,Place Usually Goes Sick - Where
2021,k4q02_r,Place Usually Goes Sick - Where
2022,k4q02_r,Place Usually Goes Sick - Where
2016,k4q04_r,Personal Doctor or Nurse - One or More
2017,k4q04_r,Personal Doctor or Nurse - One or More
2018,k4q04_r,Personal Doctor or Nurse - One or More
2019,k4q04_r,Personal Doctor or Nurse - One or More
2020,k4q04_r,Personal Doctor or Nurse - One or More
2021,k4q04_r,Personal Doctor or Nurse - One or More
